[n]	[m]	[probability]
1	21	0.209303
2	60	0.133226
3	21	0.161128
4	21	0.133887
5	208	0.293875
6	20	0.136301
7	221	0.298810
8	222	0.335391
9	240	0.224738
10	222	0.265254
11	37	0.137354
12	66	0.101427
13	130	0.060128
14	57	0.124649
15	6	0.126695
16	8	0.138362
17	14	0.119826
18	24	0.113795
19	57	0.121923
20	117	0.055589
21	96	0.051646
22	251	0.175992
23	262	0.196575
24	282	0.147940
25	227	0.116078
26	117	0.051232
27	251	0.200629
28	251	0.207920
29	130	0.053796
30	282	0.149510
31	236	0.180094
32	273	0.198015
33	25	0.089634
34	236	0.171693
35	201	0.066525
36	251	0.175071
37	210	0.275017
38	228	0.090695
39	235	0.071804
40	1	0.209332
41	288	0.114834
42	23	0.077819
43	201	0.077229
44	201	0.057975
45	257	0.100011
46	68	0.098650
47	34	0.137726
48	201	0.073144
49	264	0.120062
50	242	0.192443
51	203	0.056035
52	12	0.109749
53	265	0.178036
54	265	0.207382
55	28	0.173500
56	250	0.114939
57	207	0.099352
58	28	0.206568
59	225	0.065236
60	319	0.121144
61	28	0.172757
62	268	0.132478
63	265	0.217669
64	28	0.163151
65	69	0.082084
66	267	0.078020
67	267	0.087242
68	28	0.208693
69	299	0.113720
70	250	0.131078
71	359	0.124398
72	291	0.118676
73	18	0.086113
74	292	0.187163
75	28	0.179084
76	283	0.104108
77	343	0.132958
78	44	0.109679
79	291	0.109532
80	18	0.074809
81	195	0.062045
82	28	0.186594
83	375	0.127928
84	264	0.134552
85	161	0.082175
86	271	0.124346
87	18	0.110467
88	29	0.071769
89	270	0.178415
90	343	0.140666
91	195	0.065341
92	16	0.189687
93	321	0.126808
94	29	0.092944
95	300	0.098563
96	307	0.091417
97	307	0.091417
98	195	0.077660
99	305	0.106980
100	28	0.139604
101	300	0.136638
102	356	0.084904
103	356	0.084904
104	270	0.156513
105	28	0.134038
106	374	0.137671
107	29	0.082384
108	368	0.091375
109	16	0.181845
110	375	0.139576
111	356	0.086944
112	356	0.086944
113	16	0.168611
114	29	0.105290
115	332	0.107973
116	357	0.121181
117	304	0.109123
118	356	0.096470
119	356	0.096470
120	304	0.101996
121	64	0.083920
122	40	0.152107
123	327	0.116138
124	161	0.081987
125	356	0.087868
126	356	0.087868
127	410	0.092278
128	305	0.119129
129	123	0.082836
130	438	0.133548
131	279	0.223983
132	436	0.073051
133	93	0.096344
134	13	0.147997
135	157	0.080502
136	258	0.243192
137	151	0.081318
138	344	0.098709
139	497	0.098357
140	308	0.094139
141	333	0.181703
142	244	0.223300
143	17	0.146545
144	167	0.073443
145	336	0.119226
146	40	0.156549
147	438	0.142368
148	266	0.098636
149	452	0.104109
150	292	0.190896
151	327	0.121836
152	333	0.197023
153	333	0.106656
154	40	0.144630
155	157	0.082171
156	482	0.089664
157	333	0.146346
158	305	0.102071
159	435	0.135481
160	17	0.125769
161	93	0.124446
162	226	0.117603
163	407	0.150759
164	93	0.096542
165	258	0.208833
166	388	0.104248
167	327	0.115156
168	266	0.108988
169	7	0.215828
170	144	0.085783
171	312	0.099148
172	252	0.173331
173	333	0.164850
174	340	0.090338
175	93	0.112524
176	328	0.105785
177	93	0.093184
178	7	0.153752
179	336	0.097720
180	40	0.108706
181	519	0.127985
182	312	0.088774
183	327	0.103482
184	252	0.144974
185	467	0.162235
186	419	0.114322
187	409	0.107646
188	333	0.117581
189	336	0.103005
190	328	0.126420
191	387	0.078498
192	501	0.199335
193	333	0.116466
194	243	0.127695
195	481	0.168048
196	456	0.152286
197	454	0.149918
198	230	0.093918
199	19	0.106623
200	467	0.176247
201	390	0.104809
202	419	0.123217
203	467	0.182591
204	139	0.070210
205	483	0.181035
206	387	0.121980
207	384	0.086621
208	456	0.224445
209	328	0.098556
210	334	0.169526
211	392	0.100781
212	464	0.204825
213	490	0.178269
214	482	0.129403
215	181	0.117948
216	373	0.202425
217	139	0.063869
218	390	0.115872
219	488	0.154874
220	467	0.178480
221	575	0.264723
222	505	0.256900
223	428	0.079594
224	26	0.109597
225	451	0.124821
226	27	0.105921
227	512	0.184761
228	509	0.164798
229	456	0.171219
230	471	0.087533
231	563	0.244188
232	287	0.101298
233	248	0.064315
234	390	0.102465
235	526	0.261730
236	575	0.303335
237	533	0.099979
238	490	0.226406
239	451	0.171964
240	477	0.128344
241	526	0.252967
242	563	0.317511
243	526	0.222257
244	488	0.164667
245	27	0.097451
246	580	0.287191
247	477	0.145952
248	544	0.124255
249	478	0.137243
250	484	0.118546
251	53	0.099010
252	556	0.130581
253	580	0.245054
254	469	0.086212
255	544	0.100721
256	569	0.105360
257	566	0.190952
258	478	0.132666
259	53	0.087474
260	489	0.160739
261	563	0.353358
262	580	0.369617
263	508	0.123171
264	508	0.136958
265	575	0.249762
266	580	0.407322
267	620	0.314033
268	551	0.348431
269	551	0.310792
270	570	0.102350
271	53	0.101876
272	604	0.409163
273	544	0.116748
274	551	0.339866
275	513	0.131612
276	580	0.296811
277	620	0.272934
278	581	0.148591
279	560	0.341987
280	515	0.087381
281	544	0.143498
282	587	0.151794
283	643	0.130623
284	604	0.355141
285	515	0.096858
286	602	0.131837
287	508	0.111777
288	79	0.069414
289	563	0.313340
290	600	0.179425
291	397	0.075042
292	546	0.156143
293	587	0.162745
294	602	0.137515
295	79	0.051490
296	532	0.209647
297	580	0.309299
298	592	0.300367
299	602	0.169896
300	602	0.190865
301	547	0.106110
302	606	0.156661
303	577	0.140650
304	53	0.083495
305	586	0.189865
306	53	0.068208
307	576	0.098332
308	58	0.050624
309	655	0.132313
310	620	0.189546
311	636	0.192577
312	606	0.129963
