[n]	[m]	[probability]
1	21	0.355479
2	21	0.290070
3	46	0.198335
4	78	0.336927
5	7	0.278022
6	84	0.281640
7	96	0.360594
8	100	0.320869
9	100	0.408260
10	97	0.510025
11	77	0.227421
12	102	0.254773
13	29	0.162290
14	80	0.164751
15	97	0.528081
16	1	0.301910
17	96	0.289544
18	5	0.204519
19	97	0.449648
20	97	0.627608
21	105	0.367536
22	4	0.244880
23	4	0.221795
24	80	0.191204
25	104	0.308429
26	119	0.432912
27	85	0.161131
28	80	0.189376
29	108	0.369514
30	80	0.174370
31	67	0.151910
32	19	0.161663
33	113	0.298824
34	117	0.403189
35	6	0.145134
36	113	0.285478
37	121	0.443521
38	59	0.139622
39	9	0.195158
40	10	0.422166
41	107	0.247901
42	10	0.286969
43	32	0.177530
44	90	0.343365
45	120	0.319847
46	14	0.152474
47	120	0.219940
48	120	0.186810
49	72	0.143613
50	9	0.160094
51	3	0.227964
52	142	0.363488
53	118	0.181823
54	63	0.157209
55	63	0.145814
56	10	0.274240
57	142	0.335357
58	129	0.171282
59	142	0.428900
60	58	0.179485
61	142	0.366833
62	8	0.129440
63	146	0.338471
64	10	0.270218
65	93	0.208524
66	142	0.423672
67	126	0.199920
68	58	0.180198
69	118	0.125205
70	70	0.158688
71	117	0.350868
72	33	0.133407
73	136	0.166021
74	142	0.437828
75	126	0.198127
76	158	0.191116
77	10	0.128191
78	130	0.215780
79	155	0.267473
80	16	0.100883
81	199	0.209286
82	92	0.160664
83	163	0.334088
84	126	0.224153
85	169	0.192276
86	195	0.240615
87	156	0.232946
88	164	0.207482
89	115	0.154943
90	156	0.243044
91	192	0.405344
92	168	0.271182
93	192	0.324860
94	200	0.234086
95	187	0.285067
96	184	0.306988
97	94	0.142125
98	155	0.386022
99	201	0.233793
100	187	0.220842
101	117	0.270887
102	230	0.331751
103	204	0.270129
104	196	0.240733
105	193	0.332285
106	139	0.169730
107	201	0.417592
108	45	0.111170
109	228	0.345133
110	214	0.525288
111	40	0.099854
112	165	0.172583
113	208	0.328627
114	165	0.170690
115	193	0.261614
116	106	0.126961
117	236	0.470871
118	87	0.103931
119	218	0.355526
120	236	0.682520
121	165	0.178189
122	159	0.170578
123	228	0.272170
124	226	0.459735
125	235	0.363931
126	235	0.340268
127	220	0.333283
128	226	0.341068
129	219	0.313482
130	235	0.441071
131	248	0.206075
132	230	0.322797
133	235	0.456251
134	237	0.434887
135	106	0.206727
136	233	0.307953
137	219	0.320089
138	248	0.213882
139	218	0.464815
