[n]	[m]	[probability]
1	21	0.205720
2	60	0.136654
3	21	0.168887
4	21	0.139490
5	208	0.293158
6	20	0.143720
7	221	0.303868
8	222	0.336992
9	222	0.227516
10	222	0.273143
11	37	0.143689
12	66	0.102127
13	129	0.058886
14	57	0.128333
15	14	0.123398
16	8	0.134875
17	14	0.120008
18	24	0.116583
19	57	0.121897
20	118	0.054789
21	96	0.052256
22	251	0.169211
23	262	0.196948
24	282	0.147109
25	227	0.120816
26	118	0.050405
27	251	0.207099
28	251	0.203492
29	129	0.052557
30	282	0.147441
31	236	0.178083
32	273	0.199248
33	25	0.092820
34	236	0.174637
35	201	0.063688
36	251	0.176127
37	210	0.279189
38	228	0.092785
39	235	0.076223
40	1	0.186357
41	288	0.112998
42	23	0.073691
43	201	0.073997
44	203	0.055119
45	257	0.104726
46	68	0.107701
47	35	0.144104
48	201	0.068869
49	264	0.126912
50	242	0.205643
51	203	0.052309
52	15	0.108002
53	265	0.183209
54	265	0.203162
55	28	0.169900
56	250	0.113131
57	152	0.097886
58	28	0.204212
59	225	0.069809
60	319	0.124099
61	28	0.173570
62	268	0.136301
63	265	0.220186
64	28	0.164173
65	69	0.090834
66	358	0.078038
67	267	0.086722
68	28	0.213361
69	299	0.115795
70	250	0.124027
71	359	0.125614
72	291	0.116557
73	18	0.079349
74	292	0.189348
75	28	0.185386
76	268	0.104710
77	343	0.132477
78	44	0.118854
79	291	0.108581
80	29	0.070119
81	195	0.059596
82	28	0.196395
83	319	0.131145
84	264	0.136475
85	161	0.083077
86	271	0.117050
87	18	0.101746
88	81	0.069865
89	270	0.176719
90	343	0.141783
91	269	0.062840
92	16	0.170278
93	321	0.122961
94	29	0.087507
95	300	0.107767
96	307	0.090449
97	307	0.090449
98	195	0.075963
99	305	0.109846
100	28	0.150989
101	300	0.146594
102	356	0.081334
103	356	0.081334
104	270	0.164985
105	28	0.145496
106	374	0.142349
107	64	0.080498
108	368	0.090515
109	16	0.167080
110	375	0.141217
111	356	0.091664
112	356	0.091664
113	16	0.149859
114	29	0.100129
115	332	0.104741
116	357	0.122906
117	304	0.109158
118	356	0.096470
119	356	0.096470
120	304	0.102787
121	64	0.080007
122	40	0.140145
123	327	0.115525
124	161	0.086126
125	452	0.088808
126	452	0.088808
127	410	0.093920
128	305	0.121834
129	123	0.079625
130	438	0.134367
131	279	0.210400
132	436	0.074890
133	93	0.099510
134	13	0.144940
135	157	0.081669
136	258	0.233463
137	151	0.084946
138	344	0.097807
139	497	0.099880
140	308	0.089755
141	333	0.174702
142	244	0.209927
143	13	0.135633
144	147	0.077429
145	336	0.118862
146	40	0.143007
147	438	0.143376
148	266	0.104800
149	452	0.103251
150	292	0.191801
151	327	0.123987
152	258	0.187473
153	333	0.120682
154	40	0.135078
155	157	0.085123
156	418	0.087873
157	333	0.157141
158	305	0.106343
159	435	0.135263
160	13	0.121177
161	93	0.131240
162	226	0.111325
163	407	0.152337
164	93	0.101930
165	258	0.195799
166	388	0.103351
167	327	0.119029
168	266	0.111726
169	7	0.170066
170	144	0.089661
171	312	0.098469
172	252	0.160758
173	333	0.169027
174	366	0.092367
175	93	0.120062
176	328	0.101689
177	93	0.099045
178	26	0.117608
179	336	0.097880
180	111	0.104741
181	519	0.135606
182	312	0.086404
183	327	0.104967
184	252	0.159605
185	467	0.162681
186	419	0.110899
187	409	0.107580
188	333	0.125835
189	336	0.103971
190	328	0.124462
191	387	0.081709
192	501	0.203119
193	333	0.114220
194	243	0.130171
195	481	0.172102
196	456	0.141933
197	454	0.148693
198	230	0.087685
199	19	0.130509
200	467	0.179297
201	391	0.102437
202	419	0.123212
203	467	0.182958
204	218	0.069346
205	483	0.181736
206	387	0.127786
207	384	0.087331
208	456	0.227936
209	328	0.096593
210	334	0.187051
211	392	0.096576
212	464	0.207581
213	490	0.175281
214	575	0.130308
215	181	0.119984
216	373	0.198952
217	139	0.061128
218	391	0.115816
219	334	0.155050
220	467	0.180970
221	575	0.273758
222	505	0.264548
223	422	0.082356
224	26	0.092864
225	451	0.118918
226	27	0.122017
227	512	0.185714
228	509	0.167534
229	456	0.180824
230	471	0.091811
231	563	0.243590
232	184	0.092250
233	306	0.061134
234	391	0.106369
235	526	0.260303
236	575	0.292410
237	531	0.100624
238	490	0.229758
239	451	0.169277
240	477	0.124276
241	526	0.253333
242	563	0.317378
243	526	0.226739
244	488	0.164435
245	53	0.089106
246	580	0.292713
247	477	0.143131
248	544	0.122044
249	478	0.140270
250	476	0.118478
251	53	0.124127
252	556	0.124009
253	580	0.255433
254	469	0.086941
255	544	0.098121
256	373	0.097764
257	566	0.187180
258	478	0.135289
259	53	0.077865
260	489	0.155658
261	563	0.356035
262	580	0.376027
263	508	0.125180
264	508	0.137173
265	575	0.238724
266	580	0.408016
267	620	0.316562
268	551	0.352624
269	551	0.303722
270	570	0.105541
271	53	0.122000
272	604	0.414483
273	544	0.119102
274	551	0.335829
275	513	0.129569
276	580	0.290015
277	620	0.282113
278	581	0.147831
279	560	0.333872
280	515	0.092522
281	544	0.146883
282	587	0.154065
283	643	0.136082
284	604	0.364010
285	515	0.099387
286	602	0.127845
287	508	0.114096
288	79	0.066892
289	563	0.316872
290	600	0.175327
291	515	0.080277
292	546	0.157566
293	587	0.165769
294	606	0.133416
295	79	0.053277
296	532	0.215516
297	580	0.312708
298	592	0.311433
299	602	0.168365
300	602	0.194038
301	547	0.104412
302	606	0.156773
303	577	0.136232
304	53	0.070626
305	586	0.173392
306	107	0.054228
307	603	0.100278
308	100	0.049029
309	655	0.126108
310	620	0.196812
311	636	0.185718
312	606	0.126345
313	655	0.169259
314	636	0.197121
315	634	0.166482
316	618	0.192664
317	665	0.138966
318	53	0.076616
