[n]	[m]	[probability]
1	4	0.626122
2	4	0.623772
3	9	0.866275
4	35	0.278507
5	22	0.821592
6	10	0.581541
7	6	0.901376
8	11	0.348327
9	6	0.438677
10	21	0.415649
11	17	0.502085
12	9	0.718159
13	16	0.490889
14	16	0.465489
15	40	0.481926
16	22	0.826729
17	23	0.233505
18	17	0.451600
19	19	0.327239
20	40	0.542991
21	40	0.454274
22	13	0.288830
23	20	0.210055
24	20	0.188040
25	46	0.694918
26	16	0.342459
27	35	0.368025
28	30	0.344392
29	31	0.248538
30	41	0.596120
31	35	0.331916
32	33	0.246406
33	32	0.608799
34	35	0.348991
35	40	0.452428
36	40	0.713026
37	46	0.612129
38	59	0.294069
39	50	0.601236
40	39	0.474363
41	46	0.331811
42	32	0.525866
43	56	0.710323
44	72	0.507179
45	67	0.290177
46	56	0.464916
47	45	0.742245
48	119	0.447441
49	136	0.604426
50	97	0.667985
51	53	0.485344
52	105	0.502566
53	54	0.525508
54	136	0.590255
55	89	0.314847
56	97	0.418072
57	81	0.366235
58	136	0.759096
59	51	0.571707
60	86	0.295331
61	52	0.291537
62	54	0.353182
63	52	0.399747
64	136	0.607401
65	54	0.612908
66	70	0.338104
67	55	0.361274
68	119	0.481561
69	84	0.514574
70	98	0.292095
71	87	0.322628
72	136	0.524515
73	57	0.800627
74	57	0.784396
75	73	0.419180
76	136	0.654828
77	55	0.408681
78	92	0.287749
79	45	0.489112
80	51	0.347115
81	133	0.560379
82	86	0.348434
83	105	0.890907
84	79	0.351903
85	51	0.422140
86	75	0.954344
87	133	0.455115
88	90	0.887824
89	119	0.403973
90	114	0.651443
91	152	0.325922
92	75	0.695784
93	127	0.334370
94	88	0.604238
95	90	0.956204
96	162	0.313349
97	84	0.617648
98	102	0.330002
99	154	0.576239
100	152	0.482755
101	116	0.394422
102	84	0.566732
103	91	0.682708
104	109	0.386900
105	154	0.707223
106	120	0.468431
107	137	0.476704
108	96	0.543036
109	108	0.334238
110	118	0.519549
111	116	0.487579
112	162	0.450673
113	137	0.578489
114	127	0.443528
115	96	0.462914
116	120	0.569738
117	118	0.347065
118	109	0.436166
119	127	0.355826
120	117	0.620434
121	117	0.620434
122	121	0.351267
123	164	0.303015
124	132	0.465552
125	75	0.383436
126	155	0.353394
127	115	0.517584
128	158	0.599113
129	164	0.457406
130	181	0.397383
131	130	0.465260
132	157	0.379632
133	178	0.748407
134	115	0.536846
135	167	0.442810
136	172	0.664045
137	156	0.847356
138	156	0.766437
139	217	0.474461
140	164	0.382928
141	121	0.491558
142	149	0.562276
143	186	0.454087
144	164	0.337061
145	230	0.280532
146	150	0.507534
147	122	0.286468
148	217	0.619786
149	147	0.681448
150	217	0.397708
151	217	0.501215
152	177	0.405993
153	181	0.522564
154	140	0.327710
155	248	0.503730
156	143	0.324617
157	150	0.568667
158	169	0.494271
159	157	0.536735
160	150	0.610978
161	202	0.482887
162	168	0.472327
163	230	0.422247
164	161	0.544386
165	157	0.651849
166	207	0.346014
167	175	0.398517
168	182	0.398467
169	157	0.553590
170	142	0.336104
171	315	0.363157
172	157	0.526453
173	139	0.405552
174	160	0.764713
175	151	0.446635
176	230	0.586212
177	151	0.287384
178	157	0.305580
179	248	0.760682
180	314	0.332369
181	207	0.731805
182	238	0.369219
183	151	0.389664
184	190	0.399263
185	186	0.437688
186	238	0.686996
187	170	0.350966
188	151	0.355657
189	315	0.396348
190	259	0.706939
191	233	0.480931
192	259	0.528773
193	237	0.421391
194	203	0.658811
195	171	0.384483
196	232	0.596565
197	183	0.332037
198	307	0.478284
199	315	0.517228
200	231	0.625310
201	366	0.400745
202	263	0.494163
203	366	0.470691
204	231	0.541353
205	242	0.547173
206	252	0.829500
207	366	0.558310
208	236	0.680366
209	307	0.424252
210	236	0.742199
211	246	0.345026
212	409	0.560432
213	344	0.210102
214	218	0.613041
215	225	0.448532
216	193	0.578101
217	237	0.447523
218	236	0.839261
219	193	0.680429
220	289	0.549125
221	236	0.979341
222	449	0.709969
223	409	0.283762
224	280	0.448882
225	246	0.290988
226	193	0.682577
227	289	0.622659
228	250	0.557102
229	193	0.571251
230	289	0.662468
231	318	0.668801
232	236	0.988188
233	286	0.722690
234	286	0.482519
235	345	0.571637
236	318	0.817163
237	291	0.489461
238	286	0.596453
239	280	0.458498
240	193	0.530910
241	311	0.386154
242	198	0.470710
243	449	0.634177
244	360	0.494928
245	373	0.399621
246	227	0.314956
247	368	0.381893
248	432	0.814695
249	262	0.253031
250	449	0.408243
251	262	0.275588
252	538	0.600068
253	291	0.514879
254	318	0.242394
255	432	0.758590
256	334	0.373408
257	289	0.574095
258	313	0.363181
259	345	0.503722
260	234	0.366784
261	198	0.686755
262	342	0.968242
263	408	0.421452
264	408	0.370797
265	334	0.335955
266	432	0.553266
267	291	0.412326
268	352	0.665690
269	283	0.375673
270	432	0.841387
271	348	0.512777
272	283	0.940465
273	373	0.577543
274	418	0.402404
275	495	0.640604
276	240	0.654098
277	408	0.817981
278	369	0.283477
279	386	0.475116
280	369	0.260140
281	355	0.562916
282	372	0.899710
283	212	0.644051
284	539	0.563629
285	359	0.666186
286	495	0.706447
287	372	0.910863
288	234	0.333649
289	359	0.661741
290	380	0.652221
291	480	0.644902
292	222	0.578158
293	495	0.750862
294	582	0.451019
295	336	0.490294
296	359	0.707490
297	495	0.703053
298	342	0.843125
299	359	0.612778
300	359	0.707672
301	296	0.398546
