[n]	[m]	[probability]
355	480	0.370899
356	617	0.443418
357	523	0.369374
358	399	0.672812
359	339	0.479998
360	813	0.786333
361	485	0.693279
362	644	0.323931
363	644	0.340806
364	485	0.428525
365	273	0.468051
366	251	0.971849
367	832	0.571502
368	761	0.353189
369	221	0.252098
370	700	0.336721
371	643	0.456225
372	385	0.623494
373	247	0.427765
374	700	0.357071
375	650	0.368759
376	385	0.605364
377	445	0.876885
378	789	0.377320
379	696	0.477545
380	275	0.445636
381	339	0.343401
382	784	0.468069
383	332	0.324596
384	578	0.313707
385	406	0.378974
386	764	0.646291
387	488	0.419325
388	773	0.533712
389	275	0.298165
390	764	0.675846
391	390	0.395948
392	241	0.605450
393	640	0.354043
394	792	0.366858
395	388	0.363693
396	442	0.353458
397	275	0.448741
398	332	0.417614
399	288	0.290699
400	883	0.397126
401	689	0.322349
402	883	0.324672
403	784	0.388570
404	851	0.466862
405	509	0.369115
406	650	0.749927
407	721	0.476399
408	764	0.689553
409	520	0.650663
410	650	0.614636
411	650	0.743981
412	442	0.347296
413	491	0.420351
414	229	0.314103
415	491	0.879129
416	663	0.442562
417	390	0.448155
418	600	0.379733
419	1047	0.459431
420	288	0.808125
421	385	0.627908
422	256	0.316007
423	576	0.328548
424	643	0.757065
425	435	0.442491
426	773	0.584841
427	271	0.305477
428	241	0.483645
429	960	0.294167
430	904	0.584896
431	271	0.539904
432	481	0.421112
433	423	0.269194
434	271	0.557094
435	268	0.586947
436	713	0.598045
437	271	0.617939
438	854	0.576561
439	499	0.493450
440	697	0.197408
441	621	0.442070
442	508	0.878690
443	520	0.576527
444	271	0.468286
445	790	0.441011
446	491	0.780533
447	578	0.310448
448	871	0.381851
449	481	0.370418
450	514	0.536228
451	913	0.276550
452	600	0.456570
453	746	0.323130
454	850	0.552508
455	838	0.353418
456	533	0.421955
457	903	0.456267
458	524	0.464041
459	492	0.415088
460	936	0.877766
461	374	0.355240
462	790	0.513628
463	721	0.543814
464	515	0.519248
465	504	0.335849
466	917	0.406327
467	274	0.505204
468	838	0.355663
469	1047	0.972140
470	812	0.585987
471	297	0.530070
472	535	0.448125
473	269	0.909750
474	854	0.522989
475	911	0.258760
476	1047	0.996075
477	903	0.487534
478	459	0.199889
479	576	0.390186
480	540	0.450563
481	865	0.693163
482	871	0.410900
483	282	0.526278
484	269	0.886865
485	553	0.459578
486	713	0.398731
487	905	0.671742
488	468	0.712394
489	508	0.578908
490	727	0.198791
491	542	0.600324
492	512	0.381903
493	435	0.393827
494	329	0.639573
495	969	0.217534
496	600	0.392638
497	1034	0.513833
498	557	0.340792
499	910	0.588287
500	297	0.388657
501	912	0.409047
502	395	0.431014
503	928	0.545447
504	880	0.522574
505	297	0.616535
506	812	0.698972
507	928	0.630725
508	535	0.623705
509	453	0.351273
510	910	0.545334
511	546	0.428039
512	416	0.753113
513	910	0.610888
514	274	0.725146
515	496	0.459394
516	301	0.727569
517	297	0.597727
518	514	0.469959
519	553	0.318601
520	945	0.235881
521	544	0.257213
522	553	0.430471
523	905	0.476038
524	898	0.377408
525	530	0.386069
526	559	0.387435
527	542	0.736136
528	546	0.639100
529	559	0.345253
530	329	0.481232
531	540	0.547643
532	865	0.559308
533	1018	0.610541
534	1025	0.414089
535	622	0.774664
536	559	0.376630
537	450	0.363895
538	270	0.731962
539	479	0.284750
540	611	0.323160
541	506	0.287604
542	559	0.344405
543	910	0.403427
544	1025	0.491067
545	1047	0.986355
546	988	0.397356
547	1047	0.956627
548	636	0.590405
549	557	0.424723
550	865	0.558607
551	636	0.827071
552	771	0.292533
553	383	0.607479
554	893	0.544964
555	270	0.368275
556	265	0.915902
557	549	0.395236
558	879	0.437333
559	1000	0.814592
560	1010	0.293365
561	834	0.225339
562	907	0.341589
563	910	0.371813
564	805	0.266785
565	479	0.413441
566	1004	0.241428
567	614	0.314450
568	282	0.692913
569	622	0.979492
570	270	0.675759
571	346	0.482214
572	1186	0.457108
573	1021	0.375411
574	648	0.714824
575	574	0.433048
576	1004	0.345657
577	383	0.418417
578	555	0.684927
579	545	0.461654
580	1055	0.418873
581	1128	0.457863
582	1097	0.517376
583	394	0.425980
584	673	0.748632
585	925	0.404163
586	673	0.956715
587	301	0.716567
588	821	0.302489
589	672	0.791991
590	859	0.364210
591	269	0.409679
592	942	0.495228
593	555	0.624377
594	859	0.404388
595	401	0.797268
596	308	0.720166
597	1109	0.506500
598	817	0.670851
599	498	0.418715
600	1186	0.696708
601	370	0.371936
602	1055	0.524903
603	1132	0.745786
604	666	0.784760
605	1108	0.437874
606	692	0.420066
607	859	0.331279
608	686	0.332747
609	1010	0.266830
610	648	0.786121
611	651	0.612029
612	584	0.313111
613	687	0.214871
614	629	0.430585
615	669	0.815068
616	649	0.557319
617	379	0.710675
618	1190	0.253741
619	429	0.528926
620	646	0.355369
621	1186	0.590845
622	555	0.446749
623	350	0.346419
624	942	0.451248
625	1324	0.482526
626	1186	0.401415
627	379	0.531107
628	1093	0.853868
629	692	0.647233
630	1069	0.564473
631	690	0.593686
632	431	0.635132
633	991	0.513172
634	818	0.713010
635	1093	0.875548
636	401	0.706937
637	673	0.904754
638	279	0.508093
639	1084	0.368642
640	1052	0.465453
641	1073	0.327258
642	1117	0.725476
643	456	0.323305
644	734	0.285429
645	781	0.439087
646	817	0.619992
647	279	0.498614
648	779	0.436022
649	847	0.365853
650	890	0.920893
651	686	0.406928
652	818	0.814889
653	1250	0.427179
654	991	0.660042
655	673	0.800898
656	1272	0.384785
657	279	0.418208
658	1126	0.475474
659	323	0.389806
660	649	0.587320
661	511	0.648436
662	1204	0.686778
663	511	0.693739
664	890	0.910497
665	1084	0.984178
666	686	0.391132
667	511	0.665608
668	779	0.589189
669	1106	0.413668
670	687	0.441414
671	323	0.354215
672	776	0.434320
673	654	0.813229
674	396	0.325220
675	396	0.325220
676	398	0.737685
677	463	0.569288
678	1061	0.924449
679	463	0.791024
680	463	0.557295
681	1084	0.753230
682	987	0.967466
683	817	0.494796
684	612	0.428744
685	667	0.689101
686	463	0.433183
687	776	0.369731
688	654	0.698162
689	687	0.332751
690	714	0.867562
691	714	0.992186
692	1361	0.440572
693	1361	0.747863
694	1337	0.520713
695	1193	0.335512
696	389	0.572465
697	580	0.683637
698	688	0.603819
699	654	0.494928
700	1224	0.382866
701	1228	0.442920
702	1166	0.823691
703	987	0.865680
704	704	0.359830
705	1207	0.417178
706	666	0.887288
707	398	0.852331
708	752	0.533176
709	737	0.258807
710	398	0.518126
711	711	0.344908
712	1105	0.682499
713	1324	0.672319
714	756	0.286187
715	1361	0.930273
716	1296	0.931890
717	987	0.729806
