[n]	[m]	[probability]
1	21	0.344812
2	21	0.315311
3	46	0.193553
4	78	0.327709
5	7	0.271993
6	78	0.305163
7	96	0.351114
8	100	0.312707
9	100	0.403135
10	97	0.526548
11	77	0.231034
12	102	0.251466
13	29	0.159477
14	80	0.162350
15	97	0.472862
16	1	0.286954
17	96	0.306349
18	5	0.201457
19	97	0.479269
20	97	0.587670
21	105	0.359954
22	10	0.206822
23	4	0.178732
24	80	0.190592
25	104	0.310575
26	97	0.456192
27	85	0.162330
28	80	0.194561
29	108	0.364928
30	80	0.175331
31	67	0.156640
32	6	0.146002
33	113	0.302905
34	117	0.390194
35	6	0.162837
36	113	0.284244
37	121	0.437660
38	59	0.137727
39	9	0.181121
40	10	0.403531
41	107	0.249805
42	10	0.293787
43	32	0.158814
44	90	0.354551
45	120	0.316046
46	14	0.161504
47	120	0.216199
48	120	0.183364
49	72	0.144611
50	3	0.214070
51	3	0.197852
52	142	0.338045
53	118	0.178295
54	58	0.158452
55	63	0.147758
56	10	0.261498
57	142	0.314001
58	129	0.167250
59	142	0.414159
60	58	0.178428
61	142	0.351105
62	8	0.133690
63	146	0.324183
64	10	0.235999
65	93	0.180959
66	142	0.415954
67	126	0.192861
68	70	0.176729
69	118	0.117905
70	70	0.150935
71	117	0.334444
72	33	0.114221
73	136	0.173889
74	142	0.446640
75	126	0.192167
76	158	0.186560
77	60	0.122346
78	130	0.221924
79	155	0.265778
80	13	0.109636
81	199	0.198967
82	92	0.147405
83	163	0.331913
84	126	0.228334
85	171	0.191315
86	195	0.239120
87	156	0.233454
88	164	0.209510
89	115	0.151272
90	156	0.243671
91	192	0.398674
92	168	0.273131
93	192	0.325742
94	200	0.230696
95	187	0.283775
96	184	0.305112
97	94	0.131483
98	155	0.400215
99	201	0.236841
100	187	0.219569
101	117	0.265739
102	230	0.336856
103	204	0.265131
104	196	0.242968
105	193	0.327027
106	139	0.165886
107	201	0.423024
108	45	0.107391
109	228	0.345876
110	214	0.526340
111	40	0.110625
112	165	0.166755
113	208	0.324123
114	165	0.166416
115	193	0.262957
116	106	0.107188
117	236	0.467650
118	62	0.097190
119	218	0.348396
120	236	0.673431
121	165	0.174955
122	159	0.161427
123	228	0.273933
124	226	0.453707
125	235	0.379139
126	235	0.350419
127	220	0.323651
128	226	0.336533
129	212	0.313932
130	235	0.452598
131	248	0.202496
132	230	0.325015
133	235	0.463301
134	237	0.437680
135	106	0.198270
136	233	0.297821
137	219	0.319005
138	248	0.211483
139	218	0.452693
140	229	0.383537
141	249	0.265327
142	233	0.392730
143	229	0.373878
144	87	0.119653
145	214	0.526563
146	235	0.459699
147	239	0.400282
148	241	0.662110
149	226	0.403854
150	243	0.515265
151	251	0.348682
152	239	0.475697
153	226	0.518842
154	245	0.294143
155	166	0.171041
156	243	0.579271
157	242	0.300688
158	288	0.588891
159	172	0.126333
160	226	0.474609
161	236	0.503202
162	245	0.208628
163	236	0.572410
164	160	0.131273
165	238	0.232048
166	236	0.294702
167	172	0.175607
168	209	0.178767
169	258	0.330455
170	251	0.568960
171	237	0.130123
172	185	0.175903
173	327	0.710598
174	362	0.314147
175	226	0.357147
176	236	0.395813
177	160	0.158997
178	362	0.395402
179	272	0.347485
180	362	0.434348
181	160	0.128486
182	363	0.286834
183	342	0.356345
184	363	0.347591
185	342	0.306234
186	272	0.401230
187	302	0.264793
188	249	0.288045
189	261	0.232181
190	147	0.111819
191	362	0.312911
192	182	0.128685
193	273	0.202836
194	270	0.370761
195	288	0.607808
196	363	0.500472
197	276	0.466796
198	372	0.383117
199	284	0.226251
200	327	0.834600
201	110	0.130159
202	276	0.560860
203	302	0.565397
204	288	0.328918
205	289	0.540631
206	320	0.284741
207	311	0.309383
208	290	0.320697
209	294	0.779665
210	289	0.646633
211	240	0.135144
212	363	0.485187
213	110	0.138015
214	302	0.584100
215	327	0.901335
216	217	0.215985
217	311	0.266107
218	274	0.194416
219	292	0.260273
220	337	0.404374
221	284	0.237881
222	254	0.177199
223	318	0.361100
224	254	0.173773
225	331	0.268272
226	278	0.216095
227	302	0.521509
228	402	0.347287
229	190	0.112728
230	294	0.435290
231	372	0.285553
232	288	0.622892
233	337	0.278180
234	363	0.321027
235	289	0.352842
236	292	0.176212
237	318	0.347251
238	289	0.383697
239	337	0.425464
240	320	0.419824
241	320	0.419824
242	320	0.419824
243	290	0.247010
244	289	0.351423
245	332	0.345191
246	254	0.218679
247	288	0.268722
248	337	0.260111
249	321	0.255222
250	294	0.398401
251	340	0.238852
252	419	0.225920
253	326	0.213959
254	419	0.224166
255	332	0.431060
256	324	0.301308
257	332	0.411705
258	410	0.171542
259	332	0.426250
260	265	0.190357
261	297	0.173490
262	361	0.283140
263	328	0.178103
264	234	0.165779
265	306	0.292895
266	399	0.552911
267	315	0.312789
268	333	0.268747
269	305	0.191202
270	340	0.373496
271	309	0.190808
272	356	0.471649
273	211	0.162305
274	337	0.552180
275	400	0.162911
276	198	0.163923
277	361	0.300121
278	349	0.160909
279	365	0.196540
280	332	0.413499
281	348	0.269768
282	221	0.147396
283	332	0.381705
284	438	0.087353
285	328	0.220258
286	361	0.265785
287	433	0.115945
288	350	0.257136
289	262	0.204474
290	262	0.146543
291	447	0.116503
292	326	0.317082
293	438	0.112335
294	435	0.096736
295	358	0.273714
296	366	0.203383
297	365	0.355732
298	326	0.319639
299	351	0.339164
300	262	0.210207
301	473	0.111873
302	304	0.192047
303	360	0.381985
304	351	0.307150
305	291	0.215965
306	256	0.196696
307	379	0.244286
308	373	0.283871
309	395	0.389236
310	395	0.335871
311	373	0.273154
312	379	0.219248
313	262	0.150362
314	291	0.263956
315	477	0.154050
316	373	0.288883
317	368	0.284124
318	314	0.209454
319	326	0.219583
320	391	0.311824
321	416	0.231022
322	391	0.375498
323	285	0.279864
324	488	0.226414
325	291	0.189616
326	291	0.282757
