[n]	[m]	[probability]
355	373	0.388898
356	627	0.279606
357	364	0.314311
358	361	0.386844
359	394	0.611045
360	658	1.000000
361	403	0.217661
362	604	0.456838
363	604	0.426071
364	403	0.351219
365	398	0.240669
366	375	0.194735
367	665	1.000000
368	710	0.487332
369	354	0.412785
370	710	0.481653
371	627	0.327381
372	431	0.448171
373	330	0.370488
374	710	0.433007
375	630	0.318503
376	431	0.426451
377	439	0.396937
378	659	1.000000
379	432	0.408867
380	407	0.233692
381	383	0.506062
382	674	0.454708
383	463	0.613305
384	411	0.260302
385	393	0.354481
386	645	0.533696
387	380	0.485565
388	641	0.333855
389	451	0.248409
390	645	0.598654
391	383	0.537311
392	365	0.376086
393	607	0.364743
394	794	0.616276
395	383	0.374304
396	423	0.254038
397	398	0.384098
398	470	0.323595
399	471	0.234800
400	813	1.000000
401	391	0.383488
402	813	1.000000
403	674	0.859166
404	813	1.000000
405	386	0.754528
406	643	0.426849
407	360	0.181512
408	645	0.507519
409	439	0.297064
410	630	0.388919
411	643	0.480968
412	423	0.287206
413	403	0.314187
414	465	0.208786
415	415	0.413503
416	480	0.247486
417	383	0.370739
418	411	0.379608
419	449	0.411747
420	477	0.320857
421	503	0.371715
422	405	0.418282
423	386	0.744829
424	627	0.374966
425	339	0.293786
426	641	0.537356
427	405	0.393872
428	365	0.342959
429	813	1.000000
430	665	0.505720
431	420	0.342084
432	419	0.235051
433	479	0.355756
434	420	0.359391
435	427	0.411191
436	495	0.295718
437	420	0.387692
438	641	0.374569
439	437	0.356154
440	623	0.353527
441	408	0.432687
442	445	0.444968
443	496	0.403871
444	417	0.434994
445	644	0.304814
446	415	0.541610
447	485	0.288444
448	674	0.673002
449	419	0.298669
450	445	0.604554
451	794	0.641342
452	474	0.270244
453	650	0.743880
454	794	0.666974
455	391	0.372326
456	390	0.547993
457	665	0.542703
458	554	0.374699
459	511	0.555313
460	494	0.340786
461	502	0.188755
462	644	0.249243
463	480	0.458637
464	492	0.459849
465	424	0.219407
466	665	0.369006
467	493	0.228273
468	391	0.290784
469	538	0.294286
470	643	0.494576
471	507	0.346938
472	511	0.521021
473	436	0.170036
474	641	0.407178
475	789	0.437767
476	582	0.300738
477	665	0.464120
478	479	0.457806
479	491	0.479532
480	457	0.515177
481	630	0.415463
482	800	0.325909
483	460	0.245413
484	428	0.177911
485	419	0.241077
486	462	0.438374
487	694	0.326643
488	634	0.445817
489	524	0.447681
490	791	0.595959
491	415	0.441200
492	390	0.649942
493	443	0.366654
494	563	0.395780
495	794	0.469011
496	474	0.243942
497	665	0.536913
498	461	0.218361
499	675	0.175533
500	527	0.276518
501	523	0.495327
502	532	0.264583
503	800	0.466287
504	773	0.468785
505	527	0.410546
506	643	0.631093
507	800	0.345163
508	580	0.429804
509	443	0.412708
510	675	0.305378
511	561	0.360914
512	632	0.504702
513	685	0.252579
514	510	0.284775
515	511	0.603538
516	425	0.255431
517	527	0.368574
518	515	0.539182
519	447	0.346717
520	618	0.229204
521	580	0.503714
522	447	0.316790
523	785	0.301740
524	865	0.319461
525	390	0.566160
526	447	0.383601
527	524	0.237242
528	561	0.428819
529	447	0.414696
530	626	0.352814
531	457	0.446050
532	773	0.415643
533	883	0.357511
534	665	0.463922
535	524	0.587741
536	447	0.356107
537	609	0.243757
538	517	0.216509
539	532	0.283148
540	447	0.457422
541	472	0.331577
542	412	0.500131
543	685	0.248502
544	665	0.432073
545	582	0.303599
546	743	0.489527
547	602	0.344012
548	508	0.454853
549	475	0.305684
550	773	0.522321
551	508	0.397151
552	509	0.294631
553	563	0.183612
554	761	0.234070
555	562	0.204264
556	425	0.310669
557	412	0.618772
558	523	0.376466
559	832	1.000000
560	784	0.280706
561	791	0.480888
562	860	0.275530
563	732	0.299350
564	509	0.296328
565	634	0.448330
566	726	0.312707
567	649	0.616824
568	560	0.200598
569	546	0.375075
570	486	0.203011
571	589	0.213996
572	832	1.000000
573	813	1.000000
574	561	0.274076
575	580	0.918374
576	696	0.286827
577	647	0.232796
578	450	0.341478
579	524	0.479867
580	841	0.304573
581	851	0.725772
582	929	0.343283
583	589	0.223545
584	540	0.622607
585	753	0.244675
586	499	0.343772
587	469	0.156091
588	577	0.267166
589	508	0.519049
590	842	0.531362
591	543	0.207176
592	812	0.648799
593	472	0.694210
594	842	0.463634
595	735	0.382902
596	583	0.377482
597	602	0.337481
598	542	0.543177
599	718	0.327706
600	832	1.000000
601	739	0.180401
602	850	0.274620
603	713	0.353974
604	412	0.801451
605	850	0.319646
606	435	0.583616
607	842	0.544088
608	536	0.196908
609	871	0.370025
610	638	0.338061
611	412	0.833512
612	487	0.357842
613	667	0.684438
614	412	0.778803
615	512	0.357898
616	705	0.390415
617	709	0.152555
618	713	0.446823
619	742	0.353025
620	515	0.207139
621	832	1.000000
622	472	0.667844
623	543	0.337130
624	812	0.487640
625	824	0.644763
626	832	1.000000
627	723	0.163530
628	804	0.424701
629	435	0.467816
630	865	0.581824
631	490	0.610454
632	809	0.404568
633	854	0.449889
634	622	0.849314
635	804	0.412480
636	816	0.409968
637	540	0.406660
638	500	0.321339
639	934	0.319625
640	761	0.173495
641	860	0.302275
642	713	0.425892
643	603	0.168890
644	705	0.731518
645	679	0.325185
646	542	0.611627
647	500	0.275142
648	555	0.256918
649	672	0.402610
650	636	0.351867
651	537	0.206227
652	622	0.966023
653	832	1.000000
654	848	0.540911
655	540	0.427842
656	813	1.000000
657	505	0.234582
658	887	0.268814
659	525	0.230844
660	788	0.317439
661	798	0.368002
662	936	0.619243
663	798	0.597960
664	636	0.348426
665	790	0.291498
666	537	0.182604
667	798	0.611725
668	490	0.330974
669	912	0.353620
670	667	0.506743
671	525	0.238770
672	545	0.424945
673	612	0.288397
674	720	0.345751
675	720	0.345751
676	633	0.455894
677	819	0.242809
678	673	0.424998
679	819	0.191415
680	774	0.243955
681	790	0.281269
682	577	0.219697
683	542	0.352691
684	705	0.608226
685	705	0.277336
686	819	0.227867
687	545	0.425230
688	606	0.300651
689	667	0.454647
690	706	0.638121
691	614	0.284963
692	960	1.000000
693	960	0.732046
694	713	0.276759
695	1018	0.204914
696	770	0.160246
697	798	0.367795
698	546	0.456397
699	620	0.317369
700	880	0.514448
701	893	0.454716
702	766	0.171698
703	817	0.416628
704	544	0.572177
705	919	0.337663
706	412	0.400540
707	633	0.443900
708	487	0.430963
709	734	0.211835
710	762	0.400526
711	606	0.344877
712	771	0.179097
713	832	1.000000
714	724	0.290464
715	960	0.755791
716	928	0.325335
717	673	0.377306
718	592	0.393568
719	887	0.190238
720	778	0.199611
721	412	0.568067
722	713	0.601761
723	533	0.356456
724	1018	0.513313
725	724	0.633448
726	890	0.358988
727	762	0.399677
728	912	0.334151
729	821	0.195950
730	917	0.190593
731	606	0.445233
732	622	0.634513
733	951	0.439871
734	633	0.348648
735	832	1.000000
736	622	0.531890
737	734	0.296264
738	880	0.451857
739	929	0.377509
740	1041	0.276252
741	597	0.644490
742	942	0.267359
743	893	0.376630
744	919	0.372323
745	594	0.883148
746	662	0.126903
747	706	0.780681
748	875	0.228345
749	929	0.320653
750	876	0.503546
751	549	0.796897
752	705	0.439215
753	1073	0.355312
754	1098	0.437322
755	886	0.482274
756	967	0.289095
757	967	0.258039
758	553	0.196835
759	606	0.462703
760	530	0.494449
761	714	0.640872
762	879	0.280097
763	935	0.389276
764	879	0.222824
765	852	0.137551
766	866	0.331657
767	1061	0.313504
768	831	0.201531
769	904	1.000000
770	847	0.411185
771	991	0.214888
772	1098	0.237671
773	611	0.369934
774	594	0.516845
775	1073	0.412293
776	1152	0.727863
777	890	0.595530
778	985	0.213984
779	895	0.246077
780	935	0.423970
781	553	0.392373
782	682	0.141715
783	1004	0.193788
784	594	0.363854
785	1024	0.417665
786	1021	1.000000
787	970	0.566361
788	1128	0.607223
789	852	0.138382
790	879	0.447152
791	1024	0.334719
792	1043	0.383600
793	740	0.208626
794	950	0.194175
795	1128	0.622072
796	976	0.222321
797	1047	0.365444
798	1128	0.644158
799	1128	0.595087
800	818	0.568166
801	1021	1.000000
802	876	0.399972
803	669	0.452143
804	1030	0.331362
805	682	0.165259
806	629	0.340676
807	890	0.834239
808	781	0.325470
809	937	0.225457
810	1164	0.395653
811	914	0.635366
812	1097	0.440163
813	669	0.585051
814	642	0.468815
815	1186	0.521339
816	669	0.389361
817	987	0.596457
818	1061	0.570537
819	688	0.651048
820	921	0.495646
821	1003	0.387644
822	1042	0.332117
823	669	0.302535
824	1130	0.263119
825	947	0.359767
826	669	0.660534
827	656	0.391651
828	669	0.444991
829	923	0.387746
830	890	0.810324
831	958	0.335407
832	1130	0.404862
833	744	0.163027
834	886	0.503780
835	886	0.506239
836	873	0.155653
837	873	0.155653
838	923	0.314998
839	1143	0.502765
840	1130	0.431179
841	1061	0.575493
842	1164	0.355997
843	1164	0.351289
844	656	0.430349
845	669	0.714928
846	1132	0.536351
847	1006	0.274621
848	958	0.403398
849	1152	0.887395
850	592	0.254723
851	688	0.662172
852	1117	0.289318
853	890	0.401990
854	594	0.683699
855	904	1.000000
856	994	0.304221
857	1117	0.347779
858	1130	0.402118
859	661	0.158128
860	837	0.497533
861	1011	0.251052
862	959	0.190852
863	1152	0.525936
864	1205	0.251931
865	629	0.446638
866	1021	1.000000
867	1112	0.369868
868	1030	0.301731
869	823	0.197417
870	979	0.195149
871	1172	0.276713
872	629	0.447793
873	1109	0.371022
874	847	0.372342
875	1193	0.323228
876	1121	0.228874
877	1003	0.247435
878	1262	0.247242
879	1318	0.285664
880	1143	0.464728
881	961	0.356929
882	666	0.881353
883	1117	0.317750
884	987	0.622841
885	737	0.274687
886	1066	0.525567
887	776	0.241318
888	1065	0.285252
889	1333	0.210136
890	1070	0.290634
891	958	0.356034
892	1144	0.236260
893	1176	0.323359
894	1117	0.368432
895	1128	0.493291
896	1057	0.388191
897	733	0.393385
898	670	0.148876
899	1006	0.341364
900	1132	0.604211
901	1075	0.611455
902	1143	0.582254
903	1262	0.222840
904	779	0.476350
905	642	0.518095
906	1262	0.255399
907	686	0.359692
908	958	0.410165
909	711	0.295232
910	1246	0.253433
911	1026	0.335223
912	1058	0.168777
913	1019	0.403266
914	1371	0.470266
915	835	0.214351
916	1251	0.326284
917	1062	0.326149
918	1190	0.269895
919	1066	0.433990
920	1165	0.426062
921	629	0.442464
922	1180	0.170631
923	1027	0.246220
924	629	0.390652
925	987	0.880941
926	1076	0.337996
927	1095	0.612615
928	1025	1.000000
929	840	0.176648
930	1156	0.504724
931	835	0.210801
932	1189	0.260757
933	1058	0.186847
934	1332	0.353874
935	1246	0.308693
936	927	0.409779
937	1153	0.564715
938	1095	0.234522
939	759	0.243366
940	1065	0.211777
941	1123	0.269923
942	973	0.469653
943	1265	0.483638
944	1152	0.517646
945	1183	0.795037
946	1017	0.593426
947	1085	0.285307
948	692	0.759698
949	1158	0.240114
950	1122	0.218743
951	749	0.265825
952	1123	0.452424
953	758	0.176476
954	927	0.483648
955	740	0.244965
956	820	0.650405
957	1119	0.478934
958	1092	0.283211
959	902	0.171241
960	1158	0.293166
961	1337	0.240445
962	1076	0.253339
963	1265	0.592213
964	1089	0.241806
965	1053	0.245759
966	1014	0.235085
967	1309	0.401390
968	900	0.502226
969	1152	0.352302
970	873	0.178334
971	1082	0.396887
972	1153	0.599816
973	1213	0.287725
974	1300	0.949934
975	1120	0.253183
976	752	0.542221
977	900	0.461352
978	1183	0.725909
979	692	0.712483
980	1300	0.922224
981	1212	0.320450
982	1100	0.500449
983	1324	0.603359
984	920	0.087439
985	1166	0.489999
986	1208	0.282812
987	1119	0.634758
988	1320	0.301158
989	1189	0.366736
990	1253	0.174594
991	920	0.089076
992	1017	0.976707
993	1192	0.389604
994	1304	0.469448
995	1046	0.104112
996	702	0.085283
997	1120	0.251855
998	1103	0.153065
999	1248	0.463094
1000	927	0.457852
1001	752	0.371895
1002	908	0.411800
1003	1292	0.588281
1004	1109	0.686392
1005	1273	0.597927
1006	1201	0.145821
1007	920	0.107739
1008	1119	0.548597
1009	1290	0.310704
1010	864	0.668150
1011	1250	0.270112
1012	1153	0.482320
1013	802	0.290933
1014	802	0.290933
1015	1189	0.324174
1016	1134	0.087227
1017	864	0.678598
1018	1212	0.325546
1019	1290	0.395057
1020	1189	0.303544
1021	1017	0.656722
1022	1017	0.656722
1023	927	0.431902
1024	1125	0.244525
1025	952	0.621933
1026	1230	0.217309
1027	1230	0.217309
1028	1257	0.408244
1029	1235	0.262364
1030	952	0.645334
1031	1217	0.300784
1032	1300	0.958325
1033	1259	0.248297
1034	1166	0.726649
1035	1183	1.000000
1036	1320	0.418299
1037	1504	0.545146
1038	1151	0.151775
1039	1077	0.478361
1040	1156	0.819173
1041	1051	0.329562
1042	1051	0.329562
1043	1070	0.356563
1044	1160	0.247423
1045	1257	0.299012
1046	1235	0.333464
1047	1217	0.288716
1048	1219	0.306841
1049	989	0.536155
1050	1300	0.921151
1051	989	0.351575
1052	1344	0.329426
1053	1207	0.215601
1054	1156	0.865523
1055	1186	1.000000
1056	802	0.334433
1057	1219	0.305887
1058	1017	0.755726
1059	1101	0.122703
1060	1275	0.208644
1061	989	0.590500
1062	908	0.320039
1063	1504	0.202360
1064	802	0.382830
1065	1109	0.351658
1066	1328	0.353624
1067	1337	0.322359
1068	849	0.187140
1069	1315	0.426606
1070	1280	0.236707
1071	1195	0.189649
1072	1102	0.635386
1073	1387	0.295293
1074	1280	0.254311
1075	1312	0.256706
1076	1298	0.441706
1077	1260	0.335908
1078	1075	0.307474
1079	1234	0.263000
1080	1253	0.304363
1081	1144	0.253756
1082	1453	0.357770
1083	1230	0.200848
1084	1504	0.317177
1085	1300	0.398942
1086	1242	0.325416
1087	1256	0.222122
1088	1324	0.633736
1089	1321	0.266173
1090	944	0.432706
1091	1048	0.563616
1092	1305	0.242802
1093	1253	0.281376
1094	1458	0.436850
1095	1369	0.276161
1096	1469	0.620330
1097	1313	0.268402
1098	1407	0.292002
1099	1064	0.514916
1100	1257	0.258475
1101	1357	0.374208
1102	1102	0.912539
1103	1038	0.474768
1104	1313	0.385458
1105	1252	0.435505
1106	1184	0.205120
1107	1344	0.280395
1108	1170	0.301962
1109	1256	0.296831
1110	1588	0.158159
1111	1258	0.203985
1112	826	0.152444
1113	965	0.355260
1114	1361	0.975323
1115	1174	0.419900
1116	1252	0.163182
1117	1308	0.373107
1118	1096	0.241659
1119	1403	0.261755
1120	1287	0.192890
1121	989	0.382620
1122	1132	1.000000
1123	1390	0.378518
1124	1341	0.305131
1125	941	0.550353
1126	1291	0.286519
1127	1187	0.304231
1128	1064	0.498365
1129	1311	0.421346
1130	1272	1.000000
1131	1455	0.415159
1132	1331	0.229229
1133	1068	0.421189
1134	1102	0.518242
1135	1227	0.317733
1136	1444	0.602096
1137	1570	0.390921
1138	1220	0.537362
1139	1458	0.402534
1140	1260	0.367583
1141	941	0.485118
1142	1007	0.313013
1143	1244	0.264491
1144	1038	0.419949
1145	1390	0.282072
1146	1413	0.239978
1147	1186	1.000000
1148	1109	1.000000
1149	1407	0.257221
1150	1260	0.273483
1151	1173	0.349355
1152	1355	0.298793
1153	1361	0.961309
1154	1511	0.279826
1155	1109	1.000000
1156	1376	0.234985
1157	1419	0.296592
1158	1311	0.456087
1159	1361	0.994170
1160	799	0.486934
1161	1166	0.516050
1162	1458	0.312899
1163	1135	0.163496
1164	1516	0.317889
1165	1394	0.455613
1166	1455	0.529533
1167	1054	0.869334
1168	1717	0.238339
1169	1064	0.400928
1170	1252	0.710296
1171	941	0.466311
1172	1107	0.359367
1173	1366	0.319321
1174	1530	0.380092
1175	1357	0.705992
1176	1381	0.416698
1177	1394	0.326029
1178	1007	0.388155
1179	1380	0.405884
1180	1140	0.467065
1181	1361	0.992342
1182	1335	0.479984
1183	1361	0.988587
1184	1323	0.233620
1185	1274	0.605126
1186	1054	0.838158
1187	1102	0.643808
1188	1323	0.323142
1189	1223	0.462678
1190	1214	0.233823
1191	1381	0.351444
1192	2080	0.234551
1193	1342	0.214642
1194	1403	0.221906
1195	1520	0.249274
1196	1671	0.263678
1197	1451	0.335724
1198	1443	0.408595
1199	1102	0.433631
1200	1443	0.393212
1201	1380	0.393060
1202	1037	0.497836
1203	1426	0.507999
1204	1227	0.329814
1205	1322	0.520223
1206	1283	0.335169
1207	1335	0.904574
1208	1361	0.975986
1209	1102	0.500276
1210	1443	0.454099
1211	1426	0.401441
1212	1411	0.209687
1213	1335	0.585931
1214	1410	0.438424
1215	1574	0.605880
1216	1342	0.196689
1217	1191	0.662761
1218	1252	0.503923
1219	1484	0.297836
1220	1571	0.352778
1221	1515	0.642672
1222	1168	0.381275
1223	1443	0.456753
1224	1059	0.561214
1225	1571	0.412533
1226	1455	0.547528
1227	1426	0.513459
1228	1630	0.356383
1229	1310	0.338290
1230	1168	0.441081
1231	1419	0.282720
1232	968	0.264760
1233	1283	0.449401
1234	1330	0.298447
1235	1229	0.198945
1236	1472	0.307964
1237	1250	1.000000
1238	1540	0.401375
1239	1343	0.303354
1240	1356	0.336578
1241	968	0.278177
1242	1443	0.387804
1243	1571	0.410617
1244	763	0.202631
1245	1484	0.290137
1246	1387	0.436780
1247	1233	0.400988
1248	968	0.274153
1249	763	0.206051
1250	1384	0.381297
1251	1283	0.366102
1252	1223	0.637184
1253	1550	0.254680
1254	1310	0.363016
1255	1059	0.747577
1256	1372	0.385284
1257	1584	0.592213
1258	1527	0.338792
1259	1455	0.542306
1260	1471	0.227388
1261	1455	0.580084
1262	1351	0.641000
1263	1387	0.228138
1264	1778	0.271569
1265	1191	0.906240
1266	1322	0.511968
1267	768	0.364494
1268	1373	0.264371
1269	990	0.234368
1270	763	0.188804
1271	1410	0.358460
1272	1362	0.234288
1273	1330	0.338819
1274	1363	0.215369
1275	1037	0.738636
1276	1479	0.441785
1277	1543	0.387880
1278	1571	0.371917
1279	1584	0.359938
1280	1335	0.818579
1281	1472	0.620752
1282	1351	0.546496
1283	1599	0.265848
1284	1302	0.387749
1285	1527	0.368890
1286	1484	0.306543
1287	1223	0.608578
1288	1496	0.166584
1289	1059	0.775251
1290	786	0.190844
1291	1438	0.214654
1292	1361	1.000000
1293	874	0.164626
1294	1168	0.839183
1295	1422	0.628796
1296	1037	0.454520
1297	1250	1.000000
1298	1191	0.451100
1299	1452	0.198427
1300	1603	0.570173
1301	1322	0.585100
1302	1655	0.415153
1303	1780	0.186600
1304	1570	0.622846
1305	1435	0.304555
1306	1482	0.253659
1307	757	0.165792
1308	1665	0.529774
1309	1489	0.220754
1310	1037	0.526606
1311	1395	0.450911
1312	2407	1.000000
1313	1445	0.636584
1314	1037	0.678233
1315	1531	0.496994
1316	1419	0.124420
1317	1059	0.462842
1318	1587	0.263326
1319	2165	1.000000
1320	1382	0.271827
1321	1540	0.509047
1322	1009	0.415276
1323	1697	0.178181
1324	1577	0.329684
1325	1609	0.441266
1326	1717	0.261454
1327	1542	0.190375
1328	1414	0.476162
1329	1523	0.167315
1330	1605	0.358955
1331	1482	0.192631
1332	1600	0.568719
1333	1009	0.460473
1334	1598	0.224363
1335	1615	0.578389
1336	1361	1.000000
1337	1609	0.572586
1338	1343	0.710484
1339	1487	0.197077
1340	1267	0.334353
1341	1535	0.264461
1342	1665	0.456274
1343	1423	0.323479
1344	1546	0.246840
1345	1508	0.466492
1346	1751	0.164354
1347	1542	0.214181
