-1.790374	-0.652257	0.967731
-1.791260	-0.759355	0.909481
-1.769265	-0.503348	1.053091
-1.779830	-0.758600	0.977051
-1.774722	-0.688741	0.893854
-1.765234	-0.616455	0.914179
-1.764115	-0.736812	0.843631
-1.738857	-0.458156	1.098684
-1.746304	-0.574819	0.906202
-1.735859	-0.641740	1.101868
-1.723863	-0.418090	1.079851
-1.723596	-0.409208	1.020069
-1.715767	-0.456083	1.128414
-1.726431	-0.571822	0.879117
-1.731012	-0.921513	0.797258
-1.704784	-0.506266	1.146540
-1.709181	-0.456902	0.927794
-1.696954	-0.405723	1.111712
-1.709906	-0.699000	0.788351
-1.695796	-0.564347	1.138844
-1.702441	-0.843406	0.686092
-1.683692	-0.385907	1.109569
-1.703371	-0.949569	0.752559
-1.700510	-0.858769	0.888672
-1.676969	-0.401194	1.119159
-1.686929	-0.983118	0.623723
-1.671989	-0.428480	1.128602
-1.672739	-0.513910	1.138521
-1.687731	-0.933817	0.781560
-1.670732	-0.959895	0.581337
-1.672482	-0.731298	0.723926
-1.669800	-0.651445	0.773862
-1.668711	-0.577400	0.814787
-1.662666	-0.984906	0.565526
-1.675355	-0.943208	0.759618
-1.658300	-0.869020	0.606848
-1.661061	-0.440459	0.880968
-1.666170	-0.983815	0.690794
-1.656635	-0.488888	0.850311
-1.654285	-0.369011	0.924747
-1.648308	-0.966677	0.542232
-1.653567	-0.594481	0.791798
-1.648616	-0.337666	0.949751
-1.648666	-0.349608	0.936133
-1.648038	-0.428142	0.877022
-1.637792	-0.901401	0.557794
-1.637413	-1.018579	0.523418
-1.646052	-0.618735	1.045090
-1.637707	-1.026802	0.536850
-1.634961	-0.807784	0.620093
-1.637085	-1.030619	0.551878
-1.630447	-1.019482	0.504794
-1.628544	-1.010146	0.498448
-1.639955	-0.543815	0.807674
-1.638613	-0.353176	0.921831
-1.624782	-0.910760	0.533972
-1.634410	-1.031484	0.567049
-1.644859	-0.786084	0.910334
-1.646431	-0.852185	0.849400
-1.638948	-0.639169	1.018001
-1.637467	-1.006462	0.637578
-1.627736	-0.427968	1.111898
-1.641094	-0.807485	0.886779
-1.624096	-0.295187	1.083747
-1.624408	-0.391592	1.114694
-1.631752	-0.605346	1.032310
-1.638605	-0.862950	0.829614
-1.621059	-0.307667	1.095886
-1.624515	-0.479358	0.829645
-1.632286	-0.774475	0.904430
-1.627240	-0.638733	1.000306
-1.632558	-0.842943	0.842613
-1.616551	-0.269270	1.049629
-1.625001	-0.666314	0.976657
-1.628270	-0.813702	0.864732
-1.619072	-0.582453	1.030493
-1.595307	-0.891732	0.507609
-1.590353	-0.940943	0.467259
-1.608585	-0.404256	1.105926
-1.604734	-1.046505	0.539925
-1.616928	-0.931290	0.726924
-1.606120	-0.367212	0.879670
-1.602928	-1.023792	0.586659
-1.572151	-1.046483	0.379138
-1.595138	-1.028868	0.573452
-1.587166	-0.661815	0.687687
-1.593474	-0.457720	1.076609
-1.590948	-0.373239	0.864715
-1.554195	-1.088501	0.326424
-1.590955	-0.954101	0.671471
-1.554686	-0.872999	0.473683
-1.572121	-0.646936	0.686026
-1.565278	-0.718108	0.623172
-1.571326	-0.587008	0.727443
-1.577339	-0.337279	0.879124
-1.530917	-1.063636	0.299886
-1.544191	-1.122197	0.374909
-1.571009	-0.305302	0.899858
-1.522490	-1.124592	0.248346
-1.523973	-1.188297	0.246286
-1.566143	-0.858764	0.738540
-1.510959	-1.145638	0.205159
-1.520674	-0.860127	0.450174
-1.505057	-1.141964	0.191426
-1.504838	-0.992548	0.315583
-1.554865	-0.559375	0.968306
-1.506721	-0.881445	0.416881
-1.496410	-1.260070	0.065082
-1.548885	-0.765248	0.799085
-1.548463	-0.213930	0.986819
-1.533987	-0.542649	0.730765
-1.542028	-0.357226	0.842862
-1.488097	-0.941300	0.342693
-1.479569	-1.179791	0.100256
-1.538858	-0.756928	0.793390
-1.476905	-1.189860	0.083856
-1.488960	-1.236504	0.187925
-1.482233	-1.312969	0.020765
-1.499305	-1.143140	0.340923
-1.479525	-1.290976	0.082892
-1.467271	-1.017969	0.250027
-1.473316	-1.330485	-0.019303
-1.479658	-0.826370	0.447721
-1.522114	-0.728430	0.796936
-1.478663	-1.196195	0.256502
-1.478663	-1.196195	0.256502
-1.478663	-1.196195	0.256502
-1.525614	-0.233790	1.054731
-1.456333	-0.959308	0.295593
-1.472353	-0.795038	0.474559
-1.462520	-1.311693	0.066054
-1.457696	-1.345419	-0.057370
-1.457970	-1.345098	-0.025072
-1.506097	-0.422565	0.787518
-1.488083	-0.605882	0.661534
-1.499220	-0.857627	0.658528
-1.434490	-1.189184	0.025011
-1.440273	-1.301921	-0.090540
-1.466616	-0.706529	0.561246
-1.439126	-1.327673	-0.105896
-1.446337	-1.318242	0.063441
-1.477296	-1.007633	0.473767
-1.424565	-1.136474	0.077886
-1.422935	-1.120806	0.094940
-1.428621	-0.942304	0.289174
-1.423048	-1.025696	0.199223
-1.501751	-0.325656	1.041920
-1.420138	-1.144106	0.063349
-1.463863	-0.665279	0.599368
-1.431056	-0.866307	0.370991
-1.500654	-0.190488	0.975094
-1.424078	-1.296978	-0.110245
-1.464516	-1.009658	0.456815
-1.434205	-1.316048	0.069902
-1.446971	-1.136327	0.306074
-1.432986	-1.305795	0.086936
-1.477718	-0.805648	0.678760
-1.415933	-0.929935	0.292589
-1.456618	-0.644191	0.615208
-1.476746	-0.454337	0.757199
-1.476746	-0.454337	0.757199
-1.476746	-0.454337	0.757199
-1.408214	-1.186527	-0.002260
-1.413461	-1.305896	-0.129499
-1.446750	-0.669355	0.587565
-1.459165	-0.561002	0.683610
-1.406567	-0.900833	0.317588
-1.409006	-1.336843	-0.150725
-1.458287	-0.904661	0.566428
-1.458287	-0.904661	0.566428
-1.458287	-0.904661	0.566428
-1.475110	-0.572244	0.873770
-1.462319	-0.801365	0.665966
-1.427096	-0.745478	0.500632
-1.392159	-1.128400	0.053420
-1.467387	-0.672405	0.783372
-1.467387	-0.672405	0.783372
-1.467387	-0.672405	0.783372
-1.457453	-0.870599	0.599287
-1.457453	-0.870599	0.599287
-1.407239	-0.844281	0.380637
-1.474910	-0.454827	0.957051
-1.478671	-0.238867	1.034623
-1.399449	-1.362536	-0.160724
-1.463346	-0.596931	0.842711
-1.449097	-0.814159	0.641352
-1.379670	-1.156839	0.006412
-1.376637	-1.098662	0.075205
-1.460387	-0.562449	0.867229
-1.469442	-0.314653	1.018426
-1.409125	-1.139942	0.269880
-1.373586	-0.983781	0.202631
-1.382289	-0.878155	0.328181
-1.368232	-1.105587	0.060235
-1.366975	-1.075431	0.094736
-1.395246	-1.305888	0.083039
-1.365902	-1.117019	0.044491
-1.466216	-0.181929	0.995472
-1.367637	-0.961899	0.223471
-1.365828	-1.197068	-0.060117
-1.369304	-1.285968	-0.175529
-1.410505	-1.006532	0.402721
-1.369444	-1.366334	-0.267249
-1.381983	-0.806886	0.410163
-1.355689	-1.069858	0.093171
-1.454640	-0.322621	1.004922
-1.443513	-0.527589	0.879146
-1.367008	-1.379310	-0.197309
-1.423183	-0.726365	0.695292
-1.445366	-0.250430	0.869608
-1.443028	-0.402623	0.962001
-1.381370	-1.072251	0.309218
-1.368570	-1.314319	0.065262
