44.962769,-152.312836,-275.127844
46.578844,-222.341887,-317.287453
34.342633,-231.910399,-336.804431
48.078630,-226.615897,-318.105282
16.540955,-222.406727,-310.861624
61.810492,-219.512512,-382.356649
64.664697,-202.573727,-330.565661
86.654770,-163.452621,-323.650818
10.677031,-210.646374,-292.642022
60.428327,-152.372180,-284.711157
82.651084,-194.314852,-292.900122
68.180805,-208.365716,-364.830876
10.907468,-214.515307,-296.828988
38.755844,-208.634064,-304.226773
83.319771,-195.391113,-388.003601
71.622461,-205.612426,-404.866295
17.661118,-227.148193,-313.590637
43.929021,-228.405455,-336.764369
44.253301,-221.982176,-328.705038
94.387849,-190.183524,-265.175861
39.949921,-217.710739,-317.527415
52.395607,-180.485285,-298.766888
50.821037,-206.669117,-312.326599
45.408501,-140.606766,-281.926941
62.322156,-206.156282,-334.824042
50.157096,-203.806259,-309.244438
11.812116,-210.223231,-296.935466
26.415247,-211.994955,-307.044809
70.522377,-206.470013,-368.809170
108.451342,-167.059697,-262.357358
12.426481,-213.961231,-293.088918
50.568151,-168.460821,-294.141177
62.180389,-202.163682,-322.943171
44.536421,-219.283096,-315.842240
62.451127,-184.468554,-296.371300
64.796493,-210.386592,-308.702335
90.942412,-192.539843,-424.795913
11.258758,-208.732383,-294.358747
50.487743,-220.474049,-314.983450
43.932622,-229.999763,-352.875846
21.113041,-224.648424,-312.717210
74.086214,-213.795385,-286.943656
82.093714,-187.688338,-352.910406
59.186135,-220.506812,-301.090022
44.362672,-164.428749,-291.046138
66.824055,-182.434329,-293.104437
50.604292,-159.477440,-291.641770
58.407835,-174.490756,-298.900838
12.952963,-204.915641,-290.812568
77.945381,-200.148792,-294.280521
91.936006,-164.263533,-316.776438
11.140637,-212.270388,-296.912997
15.614337,-222.184560,-309.485352
43.223221,-231.040109,-352.418522
24.485137,-202.385263,-300.932804
22.222458,-220.033175,-314.963791
11.010334,-208.459237,-292.827350
74.438933,-210.670883,-282.570467
70.042200,-202.454429,-288.679091
56.189585,-214.230106,-332.707541
90.644902,-152.154794,-244.101322
55.183374,-226.179430,-309.290451
34.297635,-196.621021,-296.139030
74.158263,-198.392466,-282.671461
30.436805,-212.941158,-308.382893
77.633034,-207.454575,-413.591309
30.576905,-232.618022,-336.756467
19.125554,-210.901346,-298.028833
68.708264,-206.412941,-358.715372
34.920958,-201.126297,-297.984965
72.446687,-206.611396,-374.650728
10.865045,-210.390116,-294.722469
11.300318,-215.831540,-295.364044
50.523957,-222.530043,-366.666863
82.657468,-188.395079,-292.851807
63.763646,-210.589573,-310.160217
86.445920,-152.468447,-302.730122
11.069337,-214.369560,-294.859646
28.593704,-238.389227,-332.858493
102.061374,-187.675331,-267.547760
10.853086,-212.225161,-292.863216
20.518562,-198.990307,-294.986961
48.393248,-173.916123,-287.113556
34.531212,-216.996775,-314.460402
13.118479,-205.209030,-293.820877
83.289120,-185.269669,-396.795166
42.903432,-232.319280,-338.767761
78.967155,-178.452414,-362.798361
44.340958,-168.660758,-290.965953
73.595699,-205.770035,-375.396255
10.701244,-212.421201,-294.597486
94.609988,-160.794959,-245.961977
20.411649,-229.836233,-315.268718
77.063887,-159.685712,-288.432873
12.691680,-208.489954,-296.804954
66.538051,-171.372937,-288.148297
52.527694,-162.525570,-292.857876
36.468448,-232.155769,-342.837158
91.831955,-178.342842,-356.631876
52.476550,-133.118613,-283.953936
52.969742,-215.190044,-348.729439
54.232520,-214.134456,-348.741124
11.145434,-214.655204,-298.649700
40.486316,-224.817830,-320.138550
71.285881,-198.848722,-288.940826
30.607578,-198.864222,-296.038323
62.591078,-178.292619,-294.257505
94.128051,-182.200954,-408.779441
28.523813,-204.686515,-298.069997
68.528586,-210.469369,-286.666611
94.366712,-177.744747,-269.233780
53.212662,-189.049523,-301.850067
46.871000,-146.857635,-285.928459
12.530424,-212.783327,-292.101764
67.781408,-151.634556,-288.762314
90.426980,-194.811436,-404.704292
13.214803,-215.316513,-302.015350
29.391801,-233.304565,-340.517929
86.690852,-172.757129,-262.256867
12.666154,-210.685122,-298.594255
67.650429,-190.719959,-294.119942
21.290344,-226.748173,-313.926674
34.532173,-225.697339,-321.273657
20.932713,-216.702979,-302.585221
57.246252,-142.801638,-274.186941
42.466493,-236.196506,-348.742089
42.707280,-232.496803,-352.780347
72.305151,-194.064874,-358.854179
81.970788,-188.257385,-404.662684
63.454117,-224.774292,-317.716766
67.198245,-215.792401,-289.290045
85.392998,-183.314794,-278.878123
32.563368,-216.105298,-312.757141
74.318129,-206.101264,-384.662923
75.363725,-179.153031,-310.615869
26.205080,-195.853224,-297.168063
85.680010,-171.394653,-348.072866
44.716402,-196.806460,-302.090538
65.549597,-209.582420,-386.658279
79.525284,-193.459747,-409.837921
50.625396,-222.539844,-350.784149
11.039881,-216.554461,-298.692268
53.406403,-221.010880,-369.783813
18.063186,-217.729348,-309.459167
60.612697,-225.799322,-305.091991
38.483653,-204.462715,-304.469879
66.551886,-170.663041,-282.600624
19.789568,-230.354810,-320.711227
11.123415,-216.494210,-296.679857
65.636366,-199.541828,-317.016922
90.595947,-166.411066,-294.800342
11.205904,-209.988949,-291.282104
91.925926,-178.635424,-352.706095
34.732567,-188.655505,-294.822167
32.695313,-202.764150,-298.106786
34.133561,-189.892760,-297.048637
18.755134,-210.874925,-304.103770
78.840210,-154.230260,-296.295967
92.442212,-160.374663,-245.113865
88.512413,-148.991473,-245.446083
84.651896,-171.555537,-247.428792
65.741791,-213.028794,-307.989059
11.270668,-208.369223,-291.239334
50.188793,-230.680701,-318.609528
11.208913,-213.531471,-293.449539
45.634914,-147.844055,-285.529678
79.816025,-199.910525,-292.256302
56.707787,-206.495423,-320.685300
23.239746,-234.682794,-334.224240
67.836746,-210.249817,-368.778301
105.681923,-188.023827,-277.839386
103.362350,-163.356400,-257.767639
11.291093,-210.687186,-296.240670
44.355966,-162.456190,-290.715275
54.633067,-188.464757,-298.063212
72.733456,-196.554743,-336.572497
38.581884,-220.636724,-320.721786
11.269362,-218.147939,-298.703227
64.403869,-220.512737,-314.750308
82.258039,-175.651962,-319.375672
34.474704,-208.910812,-306.073235
41.992647,-168.295991,-282.804326
70.140033,-202.471951,-338.784241
23.139059,-233.125198,-320.024679
13.114311,-220.434804,-304.557905
68.316992,-202.313681,-338.718366
66.671269,-208.899137,-392.638946
58.555786,-229.958809,-314.729787
84.413226,-174.799235,-254.725518
24.432495,-228.113765,-324.809146
55.978870,-138.429850,-283.759592
30.516843,-232.779139,-338.763230
39.667024,-234.006973,-349.590942
46.227596,-142.363582,-276.785132
87.155574,-183.127642,-400.647217
21.105247,-234.538259,-326.628784
70.302499,-208.472514,-422.789177
12.501207,-218.334646,-302.610222
85.073845,-191.139872,-433.855876
51.789641,-190.049233,-301.549987
38.582788,-212.387057,-310.720325
89.912977,-157.815409,-243.650691
34.564908,-192.694806,-294.249457
11.871710,-216.430640,-300.974024
64.389315,-216.648447,-392.571855
74.587877,-190.423733,-346.609367
11.334606,-216.474846,-300.054443
98.505915,-178.962655,-258.129944
45.028967,-232.664699,-346.365439
24.074798,-221.529991,-313.379021
43.715906,-147.862247,-283.219513
40.611159,-188.469546,-298.157733
63.410021,-209.157566,-336.875610
73.363131,-194.881683,-287.476814
11.382365,-218.248869,-300.086199
44.039187,-234.353416,-334.410095
50.789417,-224.425696,-314.926824
11.343488,-217.795799,-297.230316
22.388673,-205.177307,-301.816956
22.588399,-232.557331,-330.713296
76.362276,-166.317334,-250.747326
21.937365,-219.838599,-307.230002
38.199431,-207.831415,-303.416980
67.476334,-209.048462,-358.148590
54.512473,-220.317967,-356.717479
42.210609,-203.906395,-305.471504
24.886508,-222.755069,-316.446167
22.332746,-216.259702,-310.730255
40.166058,-201.562973,-299.650940
61.882126,-214.053073,-386.879805
94.788733,-188.458122,-406.649203
22.509278,-230.421124,-326.814636
62.486800,-192.537678,-300.803543
99.327789,-155.579788,-250.182587
52.555468,-212.389749,-324.739922
94.630148,-178.457166,-256.576755
88.985289,-171.901262,-340.930752
79.916688,-198.026474,-382.692832
79.952385,-185.780712,-345.250259
43.293634,-152.185872,-277.459046
76.205390,-164.241782,-248.779175
91.335846,-167.359935,-310.381236
12.338427,-215.149085,-294.051165
78.858777,-169.036897,-338.713701
22.635484,-208.953692,-304.117472
11.329623,-207.419296,-292.693349
78.387387,-202.569487,-434.281835
24.367348,-226.382576,-322.775996
11.377331,-212.743245,-298.138896
72.596594,-208.267931,-396.772516
32.464320,-213.637779,-309.481011
64.403906,-182.449331,-294.943995
57.672810,-213.451721,-335.697083
63.555143,-207.558339,-366.805684
51.051754,-218.931598,-356.728197
30.455242,-196.455183,-299.400794
72.148676,-201.920798,-370.799539
51.260553,-230.312286,-327.593333
11.435464,-215.374924,-299.896576
73.760750,-195.895838,-286.049154
79.760273,-193.691221,-429.015708
51.089695,-222.798367,-368.594917
29.147095,-207.049774,-299.757385
13.226665,-221.886448,-304.399849
44.584601,-234.543806,-346.645702
29.254901,-235.834330,-341.857534
57.462536,-179.287735,-300.138916
42.880549,-228.417405,-346.637552
78.534229,-194.525395,-380.749683
11.662501,-218.341428,-301.012258
67.872733,-200.382388,-296.625380
42.193528,-191.714725,-295.572473
72.966786,-166.854404,-324.633530
18.495113,-214.346837,-306.665551
50.545261,-224.381431,-326.736960
12.836237,-216.577828,-302.288119
69.540661,-197.716286,-340.646309
65.804445,-211.590191,-358.881798
44.716478,-235.147995,-330.789618
12.351807,-210.486867,-290.637825
55.139280,-221.087485,-360.577794
48.336270,-226.432039,-328.683217
14.073061,-204.104255,-290.212481
77.260193,-187.073105,-344.065681
19.267403,-227.287674,-317.928955
106.476964,-184.353371,-277.064129
11.600312,-213.889618,-299.407913
48.427532,-200.184129,-305.371890
30.427414,-236.378378,-326.959936
59.738252,-215.919331,-302.429260
22.142387,-216.110733,-303.228172
12.248114,-218.510807,-296.627033
86.413693,-186.051725,-420.682970
67.426943,-198.918907,-353.376831
57.821336,-217.674735,-357.014362
24.345365,-203.845965,-301.473230
63.819913,-164.093970,-299.201072
65.463409,-154.960342,-291.785339
28.878011,-234.749939,-325.845787
20.215469,-208.177346,-297.172974
30.605084,-234.421212,-326.071950
87.956762,-203.649788,-277.079334
40.489309,-196.539164,-297.238600
69.896901,-188.310729,-321.088799
88.539974,-178.840671,-386.737389
59.281912,-213.346833,-342.421905
76.481816,-171.365463,-284.210846
47.239034,-222.695255,-350.632318
26.670871,-218.885882,-310.452925
63.908929,-225.596532,-306.934733
75.104954,-201.067091,-426.585052
53.815559,-211.748569,-327.071875
72.265599,-196.249546,-342.797773
40.325566,-226.177549,-336.805880
64.426623,-171.804073,-289.282803
62.832931,-216.432847,-294.879957
12.645479,-220.333265,-298.769863
71.639854,-151.262085,-289.196075
59.325230,-215.264506,-304.840739
34.410835,-206.476074,-300.983582
72.370246,-198.350420,-356.700102
23.317056,-225.033661,-316.340019
44.901330,-158.749226,-290.145863
66.682869,-152.362963,-288.690367
11.879344,-206.457912,-292.777426
56.464568,-172.445576,-297.234486
38.549201,-222.655729,-318.542600
32.855211,-231.257852,-332.260215
70.470908,-160.594079,-274.440538
12.422185,-208.514763,-290.134870
72.736991,-204.518971,-398.652415
83.622192,-167.521225,-329.654663
64.778659,-210.666485,-392.815181
27.001753,-195.053894,-295.553818
20.142726,-215.897659,-309.347822
80.557186,-176.943291,-322.580145
58.016709,-176.190106,-299.247974
24.294319,-230.583884,-328.955636
86.428674,-189.001478,-432.184235
22.099054,-230.536288,-316.873962
69.949201,-170.300241,-318.853821
48.645944,-202.976097,-304.233456
67.244568,-184.541229,-314.431408
12.232880,-206.474560,-290.621171
19.156660,-230.113761,-316.810139
40.520427,-186.413204,-292.310306
29.642855,-233.519547,-341.606506
70.232398,-205.853095,-384.743383
12.064656,-212.262125,-298.922934
77.317274,-196.848761,-378.582031
78.804236,-200.631065,-292.867028
54.702985,-144.384056,-272.690900
24.998883,-227.278351,-323.962901
60.633697,-172.905794,-290.190144
63.925390,-203.648567,-330.988617
11.628376,-218.986460,-298.288147
43.271859,-162.994393,-289.783798
92.046478,-195.701172,-281.876251
26.583293,-234.471746,-324.506432
46.392844,-154.547686,-289.184579
12.448616,-216.406766,-294.924587
24.620153,-212.647957,-302.168951
54.753321,-196.626428,-306.337810
61.113488,-219.100246,-368.843021
30.619064,-220.190807,-318.665070
36.429953,-216.733447,-310.580933
26.566594,-213.054999,-308.106812
18.701443,-212.483954,-298.370399
69.053292,-206.851072,-412.794346
51.881470,-227.665764,-366.142029
65.941498,-169.230469,-277.933350
19.882556,-216.305288,-301.099227
12.435427,-214.470394,-300.696758
52.550355,-130.745901,-282.378021
23.079300,-201.112178,-299.939860
54.992583,-201.244240,-310.269844
12.547943,-211.949708,-291.372791
68.305354,-196.390796,-356.766469
88.225691,-190.427422,-286.434502
66.746071,-202.601394,-338.672607
17.910491,-218.025037,-299.107003
