[n]	[m]	[probability]
355	299	0.205206
356	364	0.252273
357	310	0.293480
358	294	0.944841
359	500	0.363077
360	368	0.299208
361	523	0.837410
362	322	0.730985
363	310	0.371697
364	311	0.392908
365	299	0.166613
366	294	0.571183
367	310	0.325552
368	310	0.419582
369	332	0.631211
370	406	0.577653
371	331	0.307984
372	500	0.413835
373	365	0.875710
374	500	0.513927
375	342	0.352717
376	366	0.393763
377	315	0.310328
378	464	0.416766
379	401	0.816687
380	409	0.624834
381	377	0.543226
382	364	0.367193
383	342	0.546164
384	650	0.514353
385	548	0.337686
386	500	0.602457
387	548	0.293424
388	331	0.287277
389	414	0.328798
390	342	0.298787
391	650	0.741210
392	523	0.783115
393	327	0.348903
394	627	0.197166
395	401	0.871511
396	365	0.773135
397	397	0.791227
398	409	0.428724
399	361	0.310678
400	469	0.534473
401	577	0.874318
402	627	0.248215
403	639	0.303105
404	498	0.273676
405	550	0.655065
406	627	0.241157
407	342	0.457110
408	404	0.338026
409	551	0.455354
410	673	0.317865
411	650	0.859613
412	404	0.364870
413	376	0.343100
414	577	0.742980
415	403	0.420014
416	342	0.878305
417	327	0.921420
418	379	0.672206
419	639	0.333292
420	385	0.643729
421	407	0.477370
422	638	0.677891
423	571	0.284097
424	680	0.288066
425	496	0.465786
426	673	0.303727
427	483	0.505582
428	440	0.417471
429	422	0.382980
430	731	0.268708
431	327	0.610737
432	483	0.365300
433	404	0.370657
434	496	0.511091
435	362	0.578508
436	398	0.439208
437	401	0.605364
438	632	0.568777
439	680	0.413799
440	483	0.476402
441	468	0.454672
442	385	0.631263
443	396	0.329900
444	440	0.570572
445	577	0.579390
446	428	0.686543
447	673	0.653321
448	380	0.394552
449	468	0.446768
450	498	0.450184
451	507	0.485155
452	392	0.268590
453	746	0.703753
454	385	0.465332
455	746	0.646351
456	430	0.462806
457	398	0.409725
458	496	0.411690
459	395	0.403074
460	572	0.665874
461	551	0.763301
462	507	0.703978
463	399	0.830791
464	467	0.715869
465	561	0.473786
466	460	0.309660
467	427	0.391371
468	841	0.326262
469	572	0.564780
470	370	0.442875
471	537	0.269404
472	516	0.427784
473	549	0.331351
474	474	0.534927
475	498	0.431089
476	628	0.653668
477	537	0.245392
478	516	0.365365
479	489	0.562339
480	427	0.499106
481	421	0.472033
482	467	0.626422
483	448	0.576017
484	448	0.385239
485	673	0.632438
486	465	0.398027
487	453	0.253385
488	408	0.358056
489	425	0.215654
490	731	0.602432
491	773	0.459025
492	425	0.241118
493	476	0.369329
494	780	0.401056
495	524	0.969800
496	363	0.425808
497	428	0.623014
498	515	0.941316
499	515	0.959777
500	522	0.672921
501	372	0.603214
502	773	0.429989
503	538	0.576261
504	628	0.846516
505	538	0.535793
506	499	0.536828
