-1.123484	-1.565160	0.006609
-1.136867	-1.571813	-0.016828
-1.104424	-1.567338	-0.046787
-1.090149	-1.563900	-0.031647
-1.129937	-1.539588	-0.068828
-1.022060	-1.514327	-0.024143
-1.155643	-1.538386	-0.006091
-1.086338	-1.527292	0.012584
-1.088250	-1.531587	-0.081237
-1.138590	-1.550538	0.017451
-1.019916	-1.519994	-0.058086
-1.161044	-1.522663	-0.000919
-1.115696	-1.512655	0.025963
-1.035042	-1.504050	-0.081527
-1.027711	-1.504836	-0.011459
-0.965134	-1.505539	-0.046591
-0.854166	-1.490240	0.014636
-1.157282	-1.506510	-0.067494
-1.139068	-1.494740	0.020411
-0.936880	-1.490237	-0.022057
-0.947534	-1.493258	-0.077901
-0.916054	-1.491736	-0.071391
-1.111028	-1.488938	-0.107545
-1.061964	-1.475239	0.013282
-1.158287	-1.475963	-0.007996
-1.053017	-1.474890	-0.093138
-0.976911	-1.467765	-0.089123
-0.981876	-1.475426	-0.001291
-0.918300	-1.471012	0.019690
-0.911170	-1.486877	-0.010512
-0.875096	-1.489840	-0.030588
-0.899417	-1.467517	-0.114605
-0.836352	-1.480509	-0.078409
-0.856502	-1.463953	0.074771
-0.839003	-1.482437	-0.040127
-0.836743	-1.467232	0.077074
-0.775552	-1.464540	-0.195922
-1.163890	-1.487826	-0.054616
-1.103707	-1.485547	0.022917
-0.829232	-1.470072	-0.128047
-0.818089	-1.458275	0.048319
-0.820059	-1.457974	-0.038350
-0.800073	-1.456801	-0.108822
-1.157616	-1.453155	-0.082816
-1.143843	-1.459802	-0.109821
-0.941587	-1.458847	0.016607
-0.867383	-1.459792	-0.136703
-1.129729	-1.454488	-0.126025
-1.104262	-1.444762	-0.121601
-1.033730	-1.403389	-0.094022
-1.014958	-1.442631	0.006926
-0.856032	-1.442344	0.101291
-0.821662	-1.458284	-0.168584
-0.814835	-1.457669	0.116719
-0.796252	-1.453950	0.102463
-0.784787	-1.465643	-0.172428
-0.796032	-1.441859	-0.226902
