Sex,0,,
Age,33,,
Weight,82.8,,
Height,1.65,,
C7,	15.3964,	-236.004,	-299.06
T8,	33.4965,	-250.484,	-476.908
JN,	16.1204,	-86.1349,	-362.947
XP,	24.4464,	-31.4726,	-485.542
R10,	208.344,	-115.819,	-601.229
